id,unit_id,status,ownership_type,date_acquired,purchase_amount,monthly_payment,payment_start_date,payment_end_date,lender,make,model,year,purchase_odometer,purchase_odometer_update,odometer,odometer_update,fair_market_value,fair_market_value_date,down_payment,interest_rate,balloon_payment
1375,SPOT-Truck 0353,ACTIVE,Financed,2024-10-01,123000,3536.4,2024-10-01,2027-10-01,Y&C Truck Capital Premium LLC,Freightliner,Cascadia,2023,188244,,285057,5-11-2025 2:01:13,94507,29-04-25,23500,14.99,0
1376,Truck 0165,ACTIVE,Owner Operator Owned,09/13/2023,0,0,,,Mohammad Hussaini,Freightliner,Cascadia,2019,,,689959,5-11-2025 12:45:19,,,,0,
1377,SPOT-Truck 0831,INACTIVE,Rental,2024-08-01,0,3728,2024-08-01,,Ryder Truck Rental,Freightliner,Cascadia,2021,391808,,,,0,,0,0,0
1378,Truck 0987,INACTIVE,Owner operator owned,2024-12-01,0,0,,,Temp Vendor,volvo,VNL,2015,0,,,,0,,0,0,0
1379,Truck 0263,inactive,Owner Operator Owned,04/18/2024,0,0,04/18/2024,,BALAN EXPRESS INC,VOLVO,TT,2017,,,,,,,,0,
1380,Truck 1099,ACTIVE,Owner operator owned,2025-01-01,0,0,,,Temp Vendor,Peterbilt,TT,2005,0,,,,0,,0,0,0
1381,SPOT-Truck 0005,ACTIVE,Lease Purchase,2023-08-01,114555,3011,2023-08-01,2027-08-01,"TPine Leasing Capital, L.P.",Freightliner,Cascadia,2021,305748,,598227,5-9-2025 0:21:10,49612,29-04-25,5700,14.69,101
1382,SPOT-Truck 0196,ACTIVE,Operating lease,2024-07-01,142528,4239.25,2024-07-01,2027-07-01,Ryder Truck Rental,Freightliner,Cascadia,2024,262208,,424675,5-12-2025 0:22:32,0,,0,0,0
1385,SPOT-Truck 0214,ACTIVE,Operating lease,2023-06-01,161280,4485.33,2023-06-01,2028-12-01,Ryder Truck Rental,Freightliner,Cascadia,2024,57,,239633,5-10-2025 16:30:12,0,,0,0,0
1386,SPOT-Truck 0037,ACTIVE,Financed,2023-02-01,110864.5,2564.25,2023-02-01,2028-02-01,Engs Commercial Finance Co.,Peterbilt,579,2022,93055,,422687,5-12-2025 9:25:45,66140,29-04-25,8000,16.42,0
1388,Truck 0660,INACTIVE,Owner operator owned,,0,0,,,Temp Vendor,freightliner,TT,2007,0,,35135,1-29-2025 13:58:02,0,,0,0,0
1389,Truck 0633,INACTIVE,Owner Operator Owned,05/14/2024,0,0,05/14/2024,,IBEROSTAR LLC,VOLVO,TT,2017,,,847268,1-14-2025 14:18:09,,,,0,
1390,SPOT-Truck 0041,ACTIVE,Financed,2023-09-01,186448,3878,2023-09-01,2029-09-01,"Equify Financial, LLC",Kenworth,T680,2024,6321,,300127,5-11-2025 19:33:53,0,,0,14.36,0
1391,SPOT-Truck 0047,ACTIVE,Operating lease,2023-12-01,213900,4829.5,2023-12-01,2027-12-01,M&K Truck Leasing LLC,VOLVO,VNL760,2024,5013,,233352,5-12-2025 8:28:46,0,,0,0,0
1392,Truck 1013,INACTIVE,Owner operator owned,2024-10-15,,,,,Acza Trucking LLC,freightliner,TT,2021,,,,,,,,,
1393,SPOT-Truck 0511,ACTIVE,Operating lease,2024-12-01,172227,4590.31,2025-01-01,2030-01-01,Ryder Truck Rental,Freightliner,Cascadia,2025,5520,,60510,5-12-2025 4:24:41,0,,0,0,0
1394,Truck 0984,INACTIVE,Owner operator owned,,0,0,,,Trusted Funding Company,Freightliner,Cascadia,2018,0,,,,0,,0,0,0
1395,Truck 1026,INACTIVE,Owner operator owned,2024-12-01,0,0,,,Temp Vendor,freightliner,TT,2020,0,,,,0,,0,0,0
1396,Truck 0460,INACTIVE,Owner Operator Owned,2024-09-17,0,0,2024-09-17,,William Bell,Kenworth,TT,2017,,,,,,,,0,
1398,Truck 0669,ACTIVE,Owner operator owned,2025-01-01,0,0,,,Temp Vendor,International,TR,2020,0,,509898,5-12-2025 7:17:44,0,,0,0,0
1401,SPOT-Truck 0115,ACTIVE,Financed,2023-03-01,141000,3217,2023-03-01,2027-03-01,"Crossroads Equipment Lease and Finance, LLC",Peterbilt,579,2022,120348,,445555,5-3-2025 1:20:12,65280,29-04-25,20000,12.51,0
1402,Truck 0499,ACTIVE,Owner operator owned,,,,,,Temp Vendor,International,TT,2019,,,355334,5-11-2025 22:36:52,,,,,
1403,SPOT-Truck 0024,ACTIVE,Operating lease,2024-01-01,176370,4331.72,2024-01-01,2029-07-01,Ryder Truck Rental,Freightliner,Cascadia,2024,2573,,223795,5-12-2025 2:36:11,0,,0,0,0
1404,SPOT-Truck 0134,ACTIVE,Lease Purchase,2021-09-01,144000,4150.04,2021-10-01,2025-10-01,Envision Capital Group LLC,Peterbilt,579,2022,1266,,532900,5-12-2025 9:26:13,62629,29-04-25,17764.04,18.96,0
1405,Truck 0119,INACTIVE,Owner Operator Owned,2024-09-12,0,0,2024-09-12,,Jose Garcia,Kenworth,TT,2019,,,,,,,,0,
1406,Truck 1111,INACTIVE,Owner operator owned,,0,0,,,Temp Vendor,freightliner,TT,2018,0,,,,0,,0,0,0
1407,Truck 0444,ACTIVE,Owner operator owned,2024-10-24,,,,,Capo Martin Trucking LLC,Freightliner,Cascadia,2018,,,440348,5-12-2025 8:56:57,,,,,
1411,Truck 0018,ACTIVE,Owner Operator Owned,03/16/2023,0,0,03/16/2023,03/16/2026,Fast Mack Express LLC,Freightliner,Cascadia,2016,,,792278,5-9-2025 11:57:02,,,,0,
1412,Truck 1011,INACTIVE,Owner operator owned,2025-01-01,0,0,,,Temp Vendor,freightliner,Cascadia 125,2018,0,,,,0,,0,0,0
1413,Truck 0365,ACTIVE,Owner Operator Owned,05/09/2024,0,0,05/09/2024,,MAV ic 1734,Freightliner,Freightliner CO,2016,,,1152265,5-12-2025 0:51:30,,,,0,
1414,SPOT-Truck 0063,ACTIVE,Financed,2023-02-01,134077.5,2747,2023-02-01,2027-02-01,"Aladdin Capital, Inc.",Peterbilt,579,2022,82000,,466522,5-11-2025 14:38:04,64745,29-04-25,34077.5,14.28,1
1415,SPOT-Truck 0387,ACTIVE,Lease Purchase,2024-11-01,175000,3575,2024-12-01,2029-12-01,HEC Leasing LLC,Freightliner,Cascadia,2025,23,,75081,5-12-2025 8:39:47,0,,0,11.9,25000
1416,Truck 0412,INACTIVE,Owner Operator Owned,08/27/2024,0,0,08/27/2024,,Brian Pozas,VOLVO,VN,2016,,,,,,,,0,
1417,Truck 0674,INACTIVE,Owner Operator Owned,09/12/2024,0,0,09/12/2024,,,KENWORTH,TT,2018,,,,,,,,0,
1418,SPOT-Truck 0918,INACTIVE,Rental,2023-09-01,0,1949,2024-09-01,,KTN Logistics Inc,Freightliner,Cascadia,2018,930428,,,,0,,0,0,0
1420,Truck 1072,INACTIVE,Owner operator owned,,0,0,,,Cowart Trucking & pro solutions LLC,freightliner,TT,1999,0,,,,0,,0,0,0
1421,Truck 0360,INACTIVE,Owner Operator Owned,03/04/2024,0,0,03/04/2024,,FSB Trucking LLC,Freightliner,TT,2016,,,,,,,,0,
1422,Truck 0108,INACTIVE,Owner Operator Owned,06/06/2024,0,0,06/06/2024,,GBOB Logistics LLC,FRHT,Cascadia 126,2018,,,,,,,,0,
